DniAbonado,NombreAbonado,EmailAbonado,TelefonoAbonado,PrecioCuota,Sucursal,NombreMaquina,DescripcionEjercicio,CantidadSeries,CantidadRepeticiones
46092470,Nicodemo Domingo-Amat,reyes85@quiros.com,+34714463008,26387.47,Sucursal Oeste,Sentadillas,Piernas,5,10
40916009,Adan Neira-Font,caparrosadriana@belmonte.org,+34 720282512,26304.34,Sucursal Norte,Press banca,Resistencia,4,10
40555235,Jose Miguel Rodenas Linares,damianbas@hotmail.com,+34985 993 396,18833.36,Sucursal Norte,Dominadas,Espalda,4,14
36839473,Daniel angel Davila Leon,joveglauco@sandoval-rio.org,+34742 88 37 81,30112.94,Sucursal Norte,Bicicleta fija,Calentamiento,3,8
45985291,Modesta angel Pons,matildevalencia@amador.com,+34709 087 078,16970.03,Sucursal Sur,Bicicleta fija,Resistencia,3,19
44368468,Fabio Aliaga Prat,nelidafrutos@cordero.es,+34 683 80 70 21,21954.08,Sucursal Norte,Remo,Fuerza,4,14
39223768,Marcio Santos Rivero,adela21@yahoo.com,+34 727 66 33 09,28480.5,Sucursal Centro,Pesas libres,Biceps,5,20
24003781,Leonel Serrano,ftena@nicolau.es,+34893383117,28066.15,Sucursal Centro,Bicicleta fija,Calentamiento,3,17
47250574,Lola Candelaria Medina Rico,portillorosenda@gmail.com,+34 696 448 606,38225.79,Sucursal Sur,Cinta de correr,Resistencia,5,8
45364552,Ignacia Castellanos Hoz,candelario83@gmail.com,+34732 648 351,16377.78,Sucursal Centro,Cinta de correr,Cardio suave,6,19
37648487,Leandro Pineiro Boada,siniesta@hotmail.com,+34 708 511 807,18306.12,Sucursal Sur,Press banca,Resistencia,5,16
35917616,Jordan Tena-Borja,rolivera@hotmail.com,+34 949 24 09 82,31339.09,Sucursal Norte,Bicicleta fija,Calentamiento,5,12
25991348,Inocencio Gaya,lorenzo42@banos.com,+34 741786388,17859.43,Sucursal Norte,Press banca,Pectorales,5,20
32598771,Norberto Coca Baro,aramburufrancisca@cerda.es,+34734 19 52 88,31243.35,Sucursal Oeste,Cinta de correr,Velocidad,4,15
22245916,Rosario Coca,macaria94@gmail.com,+34700 21 46 81,23462.8,Sucursal Centro,Pesas libres,Biceps,6,8
47889309,Eduardo Rodenas Torres,matasjuan@hotmail.com,+34 710 10 83 15,18264.08,Sucursal Norte,Remo,Cardio,3,20
43347749,Leonel Monreal Coll,mirtarojas@barrena.es,+34870 72 40 73,38642.75,Sucursal Este,Dominadas,Biceps,6,9
32542098,Rosalina Lamas Huguet,vinicio40@pizarro.com,+34 911 750 222,34425.89,Sucursal Sur,Pesas libres,Hombros,5,16
37974602,Leire Manzanares-Gargallo,leonorgargallo@zamorano.com,+34919317275,34405.67,Sucursal Este,Cinta de correr,Resistencia,6,17
36664350,Eva Maria Aguilar Vilaplana,desiderio84@gmail.com,+34 711 680 648,38295.01,Sucursal Centro,Bicicleta fija,Resistencia,5,11
44007583,Olimpia Vizcaino,fernanda80@barcena.com,+34713 52 48 67,20772.44,Sucursal Norte,Sentadillas,Piernas,5,10
32587367,Florentina Pont Asenjo,lvilla@hotmail.com,+34 733078552,22569.72,Sucursal Sur,Bicicleta fija,Calentamiento,4,8
26808129,Ema Duran Urrutia,calvetadelina@blanes.com,+34706138234,15433.68,Sucursal Este,Pesas libres,Biceps,6,16
37168408,Carlota Gimeno Bonilla,morenaburgos@hotmail.com,+34715630085,38457.84,Sucursal Sur,Sentadillas,Gluteos,3,14
23375352,Gracia Alegre,revillanatividad@canovas.org,+34989 23 19 83,30158.66,Sucursal Centro,Pesas libres,Triceps,6,14
34870353,Hortensia Chaparro Seco,saturninovalentin@navas.net,+34645875685,36999.5,Sucursal Centro,Dominadas,Espalda,6,8
28761724,Salud Roura Mendizabal,fjodar@gallego.com,+34714575173,26466.24,Sucursal Este,Press banca,Pectorales,5,11
33526694,Ligia Galindo Cerda,azahar61@canovas.com,+34 722 39 34 94,22526.91,Sucursal Este,Pesas libres,Hombros,5,15
32124153,Florinda Molina Villegas,amancio10@vendrell.com,+34 705 362 638,25566.82,Sucursal Norte,Bicicleta fija,Calentamiento,4,19
39125695,Julieta Villanueva Viana,nicolasjorge@ponce.es,+34 707 299 584,22228.3,Sucursal Oeste,Sentadillas,Gluteos,3,10
26277546,Remigio del Ibarra,sancho30@gmail.com,+34 744 77 46 89,20470.3,Sucursal Sur,Cinta de correr,Velocidad,6,17
35403825,Consuela Simo Gimeno,nmascaro@casals.com,+34 707 009 037,17282.18,Sucursal Centro,Pesas libres,Biceps,6,16
28078848,Jose Manuel Saavedra,gfarre@yahoo.com,+34 705 799 097,25647.3,Sucursal Oeste,Press banca,Resistencia,6,19
26030904,Gloria Izquierdo Agusti,panfilorivero@hotmail.com,+34 834666667,37058.49,Sucursal Este,Remo,Fuerza,5,9
33630426,Adolfo del Rivera,juana60@yahoo.com,+34 832 27 27 97,29368.63,Sucursal Centro,Press banca,Fuerza explosiva,6,20
40000451,Fabiola Toledo Abellan,qvara@gmail.com,+34614 23 18 12,39227.79,Sucursal Oeste,Cinta de correr,Resistencia,5,10
39622988,Isabel Bernardita Manjon Priego,natalio94@sola.org,+34 663 26 74 69,38641.28,Sucursal Sur,Pesas libres,Triceps,6,10
38485806,Marc Gordillo Rosales,ucarreras@yahoo.com,+34701682056,36421.11,Sucursal Este,Eliptica,Intervalos,6,19
47694214,angeles Elorza,crescencia69@gmail.com,+34 806 10 48 95,35942.77,Sucursal Norte,Pesas libres,Hombros,5,18
34956399,Amor de Herrero,barbaramilla@atienza-sastre.org,+34703568565,19790.04,Sucursal Oeste,Remo,Fuerza,3,18
49535264,Maximiano Ariza Blazquez,marianaescalona@elias-murillo.org,+34996 255 172,39499.05,Sucursal Centro,Cinta de correr,Cardio suave,3,15
25922333,Mamen Juan Abellan,hildaricart@gmail.com,+34712 097 207,35211.76,Sucursal Oeste,Eliptica,Intervalos,3,14
43974239,Adalberto de Donaire,montserrat57@gmail.com,+34 992 410 406,26983.95,Sucursal Sur,Pesas libres,Triceps,6,13
34271981,Ernesto Goicoechea alvarez,cuellarmaribel@fonseca.com,+34 738023477,34119.49,Sucursal Oeste,Dominadas,Espalda,5,16
39948290,Ruy Cuenca Ugarte,cruzcoll@penalver-cabrero.com,+34 698 10 40 63,31511.14,Sucursal Este,Press banca,Fuerza explosiva,5,9
43377165,Jacinto Diaz Jove,zruano@yahoo.com,+34887 001 917,36576.83,Sucursal Este,Remo,Resistencia,6,20
34694433,Carmelita Ayllon Montoya,juanlucia@tena.es,+34632 89 05 78,38358.8,Sucursal Norte,Remo,Fuerza,6,18
